Samples,Base_DistanceCalculationsCount_Avg,Base_DistanceCalculationsCount_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,TI_IndexingTime_Avg,TI_IndexingTime_Sigma,TI_DistanceCalculationsCount_Avg,TI_DistanceCalculationsCount_Sigma,TI_IndexingTimePercent_Avg,TI_IndexingTimePercent_Sigma,TI_RunTimePercent_Avg,TI_RunTimePercent_Sigma,TI_DistanceCalculationsPercent_Avg,TI_DistanceCalculationsPercent_Sigma,RunTimePercentAvgRatio
10,38130,0,0.0062921570000000013,0.0010666032981885567,0.0059841156999999989,0.0003879608755847614,1.0060599999999998E-05,1.8749728433135139E-06,35926.499000000003,1453.7850415195328,0.16883796827345823,0.034151659666185892,96.102549510335621,9.8437608713560767,94.22108313663766,3.8127066391805182,95.104360873385673
15,57120,0,0.0086817977142857276,0.00034222616896488462,0.0079461844285714373,0.0011816538103666559,2.3769142857142872E-05,5.3616623699086453E-05,52672.155714285713,2064.5438165081491,0.3132152738954968,0.74188385704607696,91.65083284832545,14.021822563905324,92.213157763105258,3.6143974378644077,91.526947414314279
20,76060,0,0.011263903400000004,0.00033530713460568502,0.0107748898,0.00039119748022325762,3.7386999999999973E-05,4.1059555101465249E-05,69089.292000000001,2440.2271557950835,0.34801113954328078,0.39056200847022904,95.733950992327465,4.3049291680393917,90.83525111753876,3.2082923426177796,95.658577824806244
30,113790,0,0.016497741666666673,0.0006176590082443876,0.015393432333333333,0.0004950065883023827,7.4206000000000028E-05,6.4288514606949025E-06,99789.136666666673,3393.4994286965925,0.48268308883244182,0.046784614375084396,93.408929905868234,4.1274520619888859,87.695875443067592,2.9822474986348486,93.30630000368734
50,188650,0,0.027460429500000005,0.00048946545448624575,0.024529066000000002,0.00095795421258589139,0.00019852249999999998,1.1575526242419595E-05,156074.25,5121.7499352757832,0.81042621651042845,0.05491719637501994,89.353246055494481,3.8480246568389544,82.73217598727804,2.7149482826799805,89.325136010709514
70,262710,0,0.037988377333333351,0.00055131543293913704,0.032083247333333335,0.0022907044527887919,0.00037674866666666669,3.475170361652158E-05,208125.79333333333,5424.9411975864514,1.181009067832048,0.14357065902929644,84.468409295932531,6.1033925647853193,79.222638397218731,2.0649922719296749,84.455429753724985
100,372300,0,0.05371244100000002,0.00059421142499530369,0.044103710000000004,0.00094040638652562452,0.0007788430000000002,5.4275902450983576E-05,279951.52000000002,7665.7495531563754,1.7666371062682977,0.12690549264474693,82.119547591852211,1.923542323081471,75.195143701316169,2.0590248598324941,82.110790682553386
150,550950,0,0.079806895714285744,0.0008699956782227678,0.062177732857142856,0.0021891169793308483,0.00188309,0.00032619853434924295,387602.41428571427,10062.117306062,3.0296713836697351,0.50945345291313904,77.915988434535691,2.7839505189074187,70.351649747838167,1.8263213188242124,77.910226053326866
200,724600,0,0.10746254400000002,0.0040185897306048131,0.077788407999999989,0.0019432257407533818,0.0033448680000000013,0.0003982809512115275,486389.79999999999,12511.767068790621,4.2977948445764076,0.47402150556112937,72.47612694116691,3.0615974149184479,67.125282914711576,1.7267136446026261,72.38653125502033
300,1056900,0,0.15936313666666668,0.0017111581997206649,0.10821622333333333,0.0022681391067057191,0.0074891466666666675,0.00058136992362174526,660096.46666666667,16790.980891298579,6.9208365284092146,0.52578121911621867,67.913667346098208,1.6300423722434343,62.455905635979434,1.5887010021098102,67.905430074261631
500,1661500,0,0.27966843499999999,0.0026092340098550354,0.16683851500000002,0.0039779039144907762,0.019721595000000001,0.0014889952088838123,986723.84999999998,15169.084936752812,11.829466123876673,0.96731770788545235,59.662286401205492,1.587705334427066,59.387532350285895,0.91297531969622636,59.655826014115618
700,2186100,0,0.40609916666666668,0.0020570630265594942,0.23126441333333336,0.0046488193013874395,0.040018933333333333,0.0010834570824558812,1296149.3999999999,12964.833296267254,17.316727714922948,0.74984827036320367,56.948600973478264,1.1522076173705982,59.290489913544675,0.59305765043992698,56.94776850481923
1000,2823000,0,0.59284596999999994,0.012161142507095673,0.32433881000000003,0.0044584626855876958,0.084054500000000004,0.0022030095591662269,1770529.2,23168.854265059279,25.924645987739883,0.92847163838211999,54.725234213456872,1.150428508074457,62.718002125398506,0.82071747308038423,54.708782114180536
