Samples,Base_DistanceCalculationsCount_Avg,Base_DistanceCalculationsCount_Sigma,Base_RunTime_Avg,Base_RunTime_Sigma,TI_RunTime_Avg,TI_RunTime_Sigma,TI_IndexingTime_Avg,TI_IndexingTime_Sigma,TI_DistanceCalculationsCount_Avg,TI_DistanceCalculationsCount_Sigma,TI_IndexingTimePercent_Avg,TI_IndexingTimePercent_Sigma,TI_RunTimePercent_Avg,TI_RunTimePercent_Sigma,TI_DistanceCalculationsPercent_Avg,TI_DistanceCalculationsPercent_Sigma,RunTimePercentAvgRatio
10,434900,0,0.023894431400000013,0.0045471820287620712,0.020139404900000008,0.0040789634407649589,8.1255000000000004E-06,1.9703202561796669E-06,236911.18400000001,35689.863977646208,0.041828710882793781,0.013397204207546148,86.733650999282034,22.071840095112677,54.474864106691157,8.2064529725560309,84.28493050477023
15,652275,0,0.030763183428571424,0.0041340972687664212,0.024892375857142816,0.0044925613826474874,1.2748428571428565E-05,1.1385675328117091E-05,304460.71428571426,46557.439904108702,0.052695705233377896,0.046809260098716381,82.162670894886887,17.593262676882112,46.676741295575397,7.13770110829154,80.916124675263376
20,869600,0,0.037467152199999985,0.0044826387695252974,0.029089945799999989,0.0046253663481709145,1.8290399999999987E-05,6.7751008718429647E-06,354905.64799999999,49541.161713791094,0.064308837619731399,0.027054816817687753,78.278163583989894,13.104505675189596,40.81251701931923,5.6970057168573005,77.641197934440299
30,1304100,0,0.051184873333333311,0.0050004362462888717,0.036562037000000006,0.0048412721064502564,3.280566666666667E-05,4.150214712850984E-06,438550.24333333335,59623.956326835076,0.091215566609285328,0.01679178614287381,71.822709612746252,9.8968509925809194,33.62857475142502,4.572038672405113,71.431332381923824
50,2172500,0,0.077040082499999996,0.0048433442876474504,0.051072111999999968,0.0051029625975816837,7.3948500000000012E-05,8.9518307692115682E-06,550569.26500000001,66949.420214217476,0.14603230049564478,0.021973405491591838,66.545041144606515,7.7761708233268623,25.34265891829687,3.0816764195266968,66.292909278751054
70,3040100,0,0.10278053799999998,0.006272434767245625,0.063869006666666686,0.0052882720731527054,0.00014515466666666668,0.00011735460665397111,629337.42666666664,67735.886968038845,0.22885436679767959,0.19178696856492211,62.350516932585599,6.2260939843056802,20.701208074295806,2.2280808844458688,62.141148421179402
100,4340000,0,0.14657138500000003,0.0052339224028510063,0.081512604000000002,0.0055628212421490828,0.00025302799999999998,2.1042401061291521E-05,711492.70999999996,72634.942928233781,0.31207167236537203,0.036336215723492583,55.683801991484835,4.3169751710798296,16.393841244239635,1.6736161965030822,55.612904251399399
150,6502500,0,0.22295931571428565,0.0051601043337007263,0.10581360571428571,0.0042514110927640274,0.00079526857142857125,0.00078178835946688893,832393.40000000002,89761.869800592671,0.75422838780227575,0.74752899536047734,47.483469306590663,2.1964728724832137,12.801128796616686,1.3804209119660544,47.458705807063936
200,8660000,0,0.29939751800000003,0.018780926430896069,0.10995988400000002,0.051300251815152985,0.0013548059999999998,0.00097386920116803832,916616.30000000005,83159.743890470039,1.5197076587682927,1.4110446198774347,36.98731150904505,17.308658478252781,10.584483833718243,0.96027417887378796,36.72705262706954
300,12960000,0,0.43398678333333335,0.008853565844612268,0.17463449666666669,0.0062731538754020131,0.0023112300000000001,0.00030060735548621196,1033731.4666666667,77861.060672303269,1.3244656656104437,0.16985132962155625,40.249032916353002,1.4758707015812409,7.9763230452674909,0.60077978913814256,40.239588709441115
500,21500000,0,0.72175661000000013,0.01674095997360334,0.26310508499999996,0.0045209837813042246,0.0065350050000000008,0.0004435091673828531,1267387,53826.968898890314,2.4839132849287924,0.1649247399519719,36.472759364991084,1.0819108775461259,5.8948232558139519,0.2503579948785597,36.453436152112268
700,29960000,0,1.0319457333333335,0.018467743237627916,0.35747255999999999,0.0054506057808546152,0.012931160000000001,0.0011645980421219526,1505712.4666666666,96584.738168738695,3.6157758587019062,0.30065324997135723,34.655112557461045,0.97610993111925137,5.0257425456163771,0.32237896585026266,34.640635495949198
1000,42500000,0,1.6236328099999997,0.032221124107966778,0.50033990999999989,0.0084729745773055726,0.02732099,0.0019083342238425873,1802632.2,78285.456394176072,5.4615391082034703,0.3874460526673642,30.826771025711611,0.79616203421774712,4.2414875294117644,0.18420107386864962,30.816075341566911
